"Moto","id ancienne categorie","nom acienne categorie"
"Enduro et cross",,
"Roadster",,
"Routière",,
"Side-car",,
"Sportive",,
"Supermotard",,
"Trial",,
"Quad",,
"Scooter","id ancienne categorie","nom acienne categorie"
"50 Cc",848,"Scooter - de 125cm3"
"125 Cc",851,"Moto 125cm3 et +"
"Maxi scooter",,
"Accesoires autos","id ancienne categorie","nom acienne categorie"
"Gallerie",887,"Gallerie"
"Attelage",886,"Attelage"
"GPS voiture",458,"GPS automobile"
"Siege enfant",,
"Télévision","id ancienne categorie","nom acienne categorie"
"TV LCD",523,"TV"
"TV LED",523,"TV"
"Plasma",,
"accessoires TV",,
"Projecteur","id ancienne categorie","nom acienne categorie"
"Video project",,
"Projecteur diapo",521,"Rétroprojecteur"
"Projecteur de transparent",525,"Projecteur transparent"
"Home cinema","id ancienne categorie","nom acienne categorie"
"Système 2.1",,
"Système 5.1",,
"Bare de son",,
"Baladeur","id ancienne categorie","nom acienne categorie"
"iPod",,
"Lecteur MP3/MP4",566,"Lecteur MP3/MP4"
"Accesoires baladeur",,
"Enceinte Ipod Iphone",,
"Enceinte portative",577,
"Hifi","id ancienne categorie","nom acienne categorie"
"Chaines Hifi",567,"Chaîne hifi"
"Amplificateur",915,"Amplificateurs, Condensateurs"
"Lecteur CD de salon",569,"Lecteur CD"
"Platine vinyle",,
"Tuner",,
"Système audio sans fil",,
"Enceintes",231,"Enceinte"
"Casque","id ancienne categorie","nom acienne categorie"
"Casque portable",575,"Casque et écouteur"
"Casque Hifi TV",,
"Casques sans fil",,
"Micro","id ancienne categorie","nom acienne categorie"
"Micro filaire",234,"Microphone"
"Micro sans fil",,
"Equipement DJ","id ancienne categorie","nom acienne categorie"
"Amplificateurs",,
"Blocs de puissance",,
"Casques",,
"Cellules DJ",,
"Connectique",,
"Consoles USB",,
"Controleur DMX",,
"Effets son",,
"Enceinte DJ",,
"Subwoofer",,
"Eclairage","id ancienne categorie","nom acienne categorie"
"Laser",,
"Led",,
"Lyres",,
"Stroboscope",245,
"Projecteurs",517,
"Boule à facette",,
"Filtres",,
"Lumière noire",,
"Jeu de lumière",,
"Appareil photo","id ancienne categorie","nom acienne categorie"
"Appareil photo numérique",533,"Compact Numérique"
"Appareil photo argentique",535,"Compact Argentique"
"Reflex numérique",532,"Reflex Numérique"
"Réflex argentique",534,"Reflex Argentique"
"Objectifs",,
"Accessoires appareils photo",,
"Ploraroid",536,"Polaroid/Instantané"
"Caméra video","id ancienne categorie","nom acienne categorie"
"Camescope",565,"Caméra argentique"
"Camescopes numériques","563-564","Caméra video, Caméra HD"
"Accessoires camescope",1020,"Accessoires caméras"
"Lecteur vidéo","id ancienne categorie","nom acienne categorie"
"Lecteur DVD",526,
"Lecteur enregistreur DVD",,
"Lecteur Blu-Ray",974,
"Lecteur enregistreur Blu-Ray",,
"Lecteur DVD portable",,
"Lecteur enregistreur VHS",,
"Téléphone","id ancienne categorie","nom acienne categorie"
"Assisstant personnel",455,"Assistant personnel"
"Chargeur téléphone",454,"Chargeur Téléphone"
"Fax",456,"Fax"
"Répondeur",457,"Répondeur"
"Talkie-Walkie",233,"Talkie Walkie"
"Téléphone Fixe",970,"Téléphone fixe"
"Téléphone portable",450,"Téléphone portable"
"Téléphone sattelitte",451,"Téléphone satellite"
"Voix sur IP",452,"Voix sur IP"
"Ordinateur","id ancienne categorie","nom acienne categorie"
"Mac portable",473,"Mac Portable"
"Mac Bureau",474,"Mac Bureau"
"Pc portable",472,"PC portable"
"Pc bureau",471,"PC bureau"
"Console","id ancienne categorie","nom acienne categorie"
"Accessoires consoles",,
"Microsoft",468,"Microsoft"
"Nitendo",466,"Nintendo"
"Sony",465,"Sony"
"Sega",467,"Sega"
"Jeux vidéos","id ancienne categorie","nom acienne categorie"
"Jeux playstation",,
"Jeux xbox",,
"Jeux DS",,
"Jeux wii",,
"Autre jeux",,
"Imprimante","id ancienne categorie","nom acienne categorie"
"Imprimantes jet d'encre",,
"Imprimantes jet d'encre multifonction",,
"Imprimante laser",,
"Imprimante laser couleur",,
"Imprimante laser multifonction",,
"Imprimante photo 10x15",548,"Imprimante photos"
"Imprimante grand format traceur",,
"Imprimante matricielle",,
"Copieur",,
"Etiquetteuse",,
"Accessoires imprimante",,
"Scanner","id ancienne categorie","nom acienne categorie"
"Scanner A4",476,"Scanner"
"Scanner A3",,
"Scanner de film",,
"Scanner portable",,
"Accessoires scanner",,
"Périphériques","id ancienne categorie","nom acienne categorie"
